Open,High,Low,Close,Adj Close,Volume,Date
0.936384022,1.00446403,0.907923996,0.999441981,0.850643337,535796800,03-01-2000
0.966517985,0.987722993,0.903460026,0.915179014,0.778925776,512377600,04-01-2000
0.926338971,0.987164974,0.919642985,0.928570986,0.790323973,778321600,05-01-2000
0.947544992,0.955357015,0.848213971,0.848213971,0.721930563,767972800,06-01-2000
0.861607015,0.901786029,0.852679014,0.888392985,0.756127477,460734400,07-01-2000
0.910713971,0.912945986,0.845982015,0.872767985,0.742829025,505064000,10-01-2000
0.856585026,0.887277007,0.808036029,0.828125,0.704832375,441548800,11-01-2000
0.848213971,0.852679014,0.772320986,0.778460026,0.662561595,976068800,12-01-2000
0.843609989,0.881695986,0.825892985,0.863838971,0.735229135,1032684800,13-01-2000
0.892857015,0.912945986,0.887277007,0.896763027,0.763251483,390376000,14-01-2000
0.901786029,0.946429014,0.896763027,0.928013027,0.789848983,459177600,18-01-2000
0.943080008,0.970982015,0.922990978,0.951451004,0.809797466,597643200,19-01-2000
1.03125,1.084820986,1.013393044,1.013393044,0.862517297,1831132800,20-01-2000
1.02008903,1.02008903,0.983816981,0.993861973,0.845894277,495924800,21-01-2000
0.968191981,1.006695986,0.938615978,0.948661029,0.807422817,440876800,24-01-2000
0.9375,1.010045052,0.914062977,1.002231956,0.853018045,497145600,25-01-2000
0.982142985,1.019531012,0.979911029,0.983816981,0.837344527,367158400,26-01-2000
0.971539974,1.008929014,0.955357015,0.982142985,0.835919976,340144000,27-01-2000
0.965960026,0.989955008,0.898437977,0.907365978,0.772275984,423348800,28-01-2000
0.901786029,0.927455008,0.84375,0.926338971,0.788424194,701680000,31-01-2000
0.928570986,0.9375,0.892857015,0.895088971,0.761826813,318035200,01-02-2000
0.899554014,0.911830008,0.866070986,0.882254004,0.750902593,464195200,02-02-2000
0.895646989,0.930804014,0.895088971,0.922433019,0.785099566,475193600,03-02-2000
0.928013027,0.982142985,0.925222993,0.964286029,0.820721686,425320000,04-02-2000
